FundName,FundCode,UrlSlug,Fund classification,Base currency,Launch date,Minimum initial investment,Minimum transaction amount,Minimum holding period,Early redemption penalty,Trust fee,Valuation of the fund,Cut-off time,Subscription settlement,Redemption settlement,Pricing schedule,Recommended investment horizon,Target fund
ABF PHILIPPINES BOND INDEX FUND,U1ABF,abf-phillipines-bond-index-fund,Bond Funds,Peso,21-Apr-06,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,Trust fee: 0.080% p.a. payable to HSBC | Management fee: 0.186% p.a. payable to BPI Wealth,Marked-to-market daily,2:00 PM,Day 2,Day 2 end-of-day,Day 2,At least 5 years,
BPI FIXED INCOME PORTFOLIO FUND-OF-FUNDS,U1FIPFOF,fixed-income-portfolio-fund-of-funds,Bond Funds,Peso,1-Sep-16,"Php 100,000","Php 10,000",None,None,Waived (collected at the target fund level),Marked-to-market daily,2:00 PM,Day 2,Day 4 end-of-day,Day 2,At least 5 years,Refer to fund's KIIDS
BPI INVEST BALANCED FUND,U1BAL,balanced-funds,Balanced Funds,Peso,4-Apr-05,"Php 10,000","Php 1,000",None,None,1.50% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST BAYANIHAN BALANCED FUND,U1BBF,bayanihan-balanced-fund,Balanced Funds,Peso,20-Jul-18,"Php 10,000","Php 1,000",None,None,0.30% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST CATHOLIC VALUES GLOBAL EQUITY FEEDER FUND,U1CVGEFF,catholic-values-global-equity-feeder-fund,Equity Funds,Peso,22-May-17,"Php 50,000","Php 10,000",None,None,0.50% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 8 end-of-day,Day 2,At least 5 years,CBIS World Equity Fund
BPI INVEST EQUITY VALUE FUND,U1EQUI,equity-value-fund,Equity Funds,Peso,4-Apr-05,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.50% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST EUROPEAN EQUITY FEEDER FUND,U2EUEIFF,european-equity-feeder-fund,Equity Funds,Dollar,5-Aug-14,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.75% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 5 years,Wellington Strategic European Equity Fund
BPI INVEST GLOBAL BOND FUND-OF-FUNDS,U2IFP,global-bond-fund-of-funds,Bond Funds,Dollar,3-Mar-14,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.75% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 3 years,
BPI INVEST GLOBAL EQUITY FUND-OF-FUNDS,U2GEF,global-equity-fund-of-funds,Equity Funds,Dollar,30-Aug-94,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.50% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 5 years,Refer to fund's KIIDS
BPI INVEST GLOBAL HEALTH CARE FEEDER FUND CLASS A (USD CLASS),U2GHCUS,global-healthcare-feeder-fund,Equity Funds,Dollar,1-Feb-21,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 1 year,Wellington Global Health Care Equity Fund
BPI INVEST MONEY MARKET FUND,U1INST,money-market-fund,Money Market Funds,Peso,1-Aug-13,"Php 10,000","Php 1,000",None,None,0.25% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 1 end-of-day,Day 1 end-of-day,At least 1 year,
BPI INVEST PHILIPPINE CONSUMER EQUITY INDEX FUND,U1PCEIF,philippine-consumer-equity-index-fund,Equity Funds,Peso,16-Jan-17,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST PHILIPPINE DOLLAR BOND INDEX FUND,U2PDBF,philippine-dollar-bond-index-fund,Bond Funds,Dollar,31-Dec-06,USD 100,None None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.25% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 4 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST PHILIPPINE EQUITY INDEX FUND,U1PEIF,philippine-equity-index-fund,Equity Funds,Peso,20-May-13,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST PHILIPPINE HIGH DIVIDEND EQUITY FUND,U1PHDEF,philippine-high-dividend-equity-fund,Equity Funds,Peso,16-Aug-13,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.50% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST PHILIPPINE INFRASTRUCTURE EQUITY INDEX FUND,U1PIEIF,philippine-infrastructure-equity-index-fund,Equity Funds,Peso,16-Jan-17,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
BPI INVEST PREMIUM BOND FUND,U1PREM,premium-bond-fund,Fixed Income Funds,Peso,4-Apr-05,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.50% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 1 end-of-day,Day 1 end-of-day,At least 1 year,
BPI INVEST SHORT TERM FUND,U1STF,short-term-invest-fund,Money Market Funds,Peso,4-Apr-05,"Php 1,000",None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.50% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 1 end-of-day,Day 1 end-of-day,At least 1 year,
BPI Invest Sustainable Global Balanced Fund-of-Funds,U2SBALFUS,sustainable-global-balanced-fund-of-funds,Balanced Funds,Dollar,28-Mar-22,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.75% p.a,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 1 year,Refer to the Fund's KIIDS
BPI Invest Sustainable Global Bond Fund-of-Funds,U2SBOFUS,sustainable-global-fund-of-funds,Bond Funds,Dollar,28-Mar-22,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.50% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 1 year,Refer to the fund's KIIDS
BPI INVEST U.S. DOLLAR SHORT TERM FUND,U2GPF,us-dollar-short-term-fund,Money Market Funds,Dollar,30-Aug-94,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.50% p.a.,Marked-to-market daily,2:00 PM,Day 1,Day 1 end-of-day,Day 1 end-of-day,At least 1 year,
BPI INVEST US DOLLAR INCOME FEEDER FUND,U2USDINC,us-dollar-income-feeder-fund,Balanced Funds,Dollar,1-Aug-18,"USD 1,000",USD 500,180 days,1.00% of NAV of units redeemed,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 8 end-of-day,Day 2,At least 5 years,United Income Focus Trust
BPI INVEST US EQUITY INDEX FEEDER FUND CLASS A (USD CLASS),U2USEIFF,us-equity-index-feeder-fund,Equity Funds,Dollar,5-Aug-14,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,0.75% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 5 years,S&P® 500
BPI INVEST WORLD TECHNOLOGY FEEDER FUND CLASS A (USD CLASS),U2WTFUS,world-technology-feeder-fund,Equity Funds,Dollar,2-Feb-21,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 1 year,BlackRock World Technology Fund
BPI SUSTAINABLE GLOBAL EQUITY FUND-OF-FUNDS,U2SEFUS,sustainable-global-equity-fund-of-funds,Equity Funds,Dollar,28-Mar-22,USD 100,None,None,None,1.25% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 6 end-of-day,Day 2,At least 1 year,Refer to fund's KIIDS
ODYSSEY ASIA PACIFIC HIGH DIVIDEND EQUITY FEEDER FUND,U2OAPHD,odyssey-asia-pacific-high-dividend-equity-feeder-fund,Equity Funds,Dollar,20-May-08,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.10% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 7 end-of-day,Day 2,At least 5 years,JP Morgan Asia Equity Dividend Fund
ODYSSEY DIVERSIFIED BALANCED FUND,U1ODBF,odyssey-diversified-balanced-fund,Balanced Funds,Peso,12-May-06,"Php 10,000","Php 5,000",None,None,1.50% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
ODYSSEY DIVERSIFIED CAPITAL FUND,U1ODCF,odyssey-diversified-capital-fund,Balanced Funds,Peso,4-Dec-06,"Php 10,000","Php 5,000",None,None,1.50% p.a.,Market-to-market daily,2:00 PM,Day 2,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
ODYSSEY PESO BOND FUND,U1OPBF,odyssey-peso-bond-fund,Bond Funds,Peso,5-May-03,"Php 10,000","Php 5,000",None,None,1.00% p.a.,Market-to-market daily,2:00 PM,Day 2,Day 2 end-of-the-day,Day 1 end-of-the-day,At least 5 years,
ODYSSEY PESO MEDIUM TERM BOND FUND,U1OPIF,odyssey-peso-medium-term-bond-fund,Bond Funds,Peso,1-Oct-07,"Php 10,000","Php 5,000",None,None,1.00% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 2 end-of-day,Day 1 end-of-day,At least 3 years,
ODYSSEY PHILIPPINE DOLLAR BOND FUND,U2OPDBF,odyssey-philippine-dollar-bond-fund,Bond funds,Dollar,5-May-03,"USD 1,000",USD 100,None,None,1.25% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 4 end-of-day,Day 1 end-of-day,At least 5 years,
ODYSSEY PHILIPPINE EQUITY FUND,U1OPEF,odyssey-philippine-equity-fund,Equity Funds,Peso,5-May-03,"Php 10,000","Php 5,000",None,None,2.00% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 3 end-of-day,Day 1 end-of-day,At least 5 years,
ODYSSEY PHILIPPINE HIGH CONVICTION EQUITY FUND,U1OPHCE,philippine-high-conviction-equity-fund,Equity Funds,Dollar,20-May-08,USD 100,None (Transaction amount must be equivalent to at least 0.0001 unit),None,None,1.10% p.a.,Marked-to-market daily,2:00 PM,Day 2,Day 3 end-of-day,Day 2,At least 5 years,JP Morgan Asia Equity Dividend Fund
